blockNumber,timeStamp,from,to,value,contractAddress,input,type,gas,gasUsed,isError,errCode,txType,txHash
11714463,1611439626,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x7d42611012fdbe366bf4a0481fc0e1abf15e245a,400000000000000000,,,call,4600,0,0,,acceptBid2,0xcd09810528f3e590031d3b646248b0fbbe6d86c2aed7f8c957d67ac7ee3c0afb
11714463,1611439626,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,100000000000000000,,,call,4600,0,0,,acceptBid2,0xfada616330213beaf4cc28dfea11f2323b3c0bb80d0424ed04e8151c10997533
11714463,1611439626,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x7d42611012fdbe366bf4a0481fc0e1abf15e245a,400000000000000000,,,call,4600,0,0,,acceptBid2,0xfada616330213beaf4cc28dfea11f2323b3c0bb80d0424ed04e8151c10997533
11714463,1611439626,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,100000000000000000,,,call,4600,0,0,,acceptBid2,0xdcdb772f7db27b659c75c01ff9607abcb510da0dc89055083a17911ab83d4733
11714463,1611439626,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x7d42611012fdbe366bf4a0481fc0e1abf15e245a,400000000000000000,,,call,4600,0,0,,acceptBid2,0xdcdb772f7db27b659c75c01ff9607abcb510da0dc89055083a17911ab83d4733
11714471,1611439731,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,24000000000000000,,,call,4600,0,0,,acceptBid2,0xc624e3457c4460f48c7a6ed655d48af89ae19566d21218daad33fc991b2003b9
11714471,1611439731,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x9ab97f88b18e20582c7696aa2e4682e644cb50d3,96000000000000000,,,call,4600,0,0,,acceptBid2,0xc624e3457c4460f48c7a6ed655d48af89ae19566d21218daad33fc991b2003b9
11714471,1611439731,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,20000000000000000,,,call,4600,0,0,,acceptBid2,0x6d418631ac8aa2d0353cbcabf5720cde0c76f23f4c37ff576f7dfb682423aa83
11714471,1611439731,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x9ab97f88b18e20582c7696aa2e4682e644cb50d3,80000000000000000,,,call,4600,0,0,,acceptBid2,0x6d418631ac8aa2d0353cbcabf5720cde0c76f23f4c37ff576f7dfb682423aa83
11714473,1611439743,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,30000000000000000,,,call,4600,0,0,,acceptBid2,0x8e23122c11482a173076675f202ff8e91c398085fe8e35426313aa905806c59e
11714473,1611439743,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x9ab97f88b18e20582c7696aa2e4682e644cb50d3,120000000000000000,,,call,4600,0,0,,acceptBid2,0x8e23122c11482a173076675f202ff8e91c398085fe8e35426313aa905806c59e
11714478,1611439803,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,299800000000000000,,,call,4600,0,0,,acceptBid2,0xe5b6347a658c3b542dcdf5462ca0d627049c7440a474dfec58eb8f7193cb7e3a
11714478,1611439803,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x7d42611012fdbe366bf4a0481fc0e1abf15e245a,1199200000000000000,,,call,4600,0,0,,acceptBid2,0xe5b6347a658c3b542dcdf5462ca0d627049c7440a474dfec58eb8f7193cb7e3a
11714488,1611439904,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,70000000000000000,,,call,4600,0,0,,acceptBid2,0x887c56387a5e956d3a99e610fc9bb1bcfca4a70e98b3c1dc11783e6609eb25d3
11714488,1611439904,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x9ab97f88b18e20582c7696aa2e4682e644cb50d3,280000000000000000,,,call,4600,0,0,,acceptBid2,0x887c56387a5e956d3a99e610fc9bb1bcfca4a70e98b3c1dc11783e6609eb25d3
11714495,1611439969,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,40000000000000000,,,call,4600,0,0,,acceptBid2,0x151a0d03d2c74942af4a32316b582c7a048306df9ab565ad631259f5438991e8
11714495,1611439969,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0x9ab97f88b18e20582c7696aa2e4682e644cb50d3,160000000000000000,,,call,4600,0,0,,acceptBid2,0x151a0d03d2c74942af4a32316b582c7a048306df9ab565ad631259f5438991e8
11714500,1611440006,0xb6dae651468e9593e4581705a09c10a76ac1e0c8,0xdb8ac7027ce4a09c640ea07d582c700e78b95536,42000000000000000,,,call,4600,0,0,,acceptBid2,0x9fabdb09042a2af55a93f1d5b9b039ffec07a1b22ac21480711ef37998dc3084
