galleryFee,artistFee,sellerFee,sale,timestamp,galleryPerc,artistPerc,sellerPerc
0.0084,0.028,0.252,0.28840000000000005,1594004044,2.91,9.71,87.38
0.027,0.09,0.81,0.927,1594015604,2.91,9.71,87.38
0.0561,0.187,1.683,1.9261000000000001,1594039969,2.91,9.71,87.38
0.012,0.04,0.36,0.412,1594045922,2.91,9.71,87.38
0.0039,0.013,0.117,0.13390000000000002,1594058127,2.91,9.71,87.38
0.006,0.02,0.18,0.206,1594062191,2.91,9.71,87.38
0.043686,0.14562,1.31058,1.499886,1594127872,2.91,9.71,87.38
0.00525,0.0175,0.1575,0.18025000000000002,1594137305,2.91,9.71,87.38
0.0054,0.018,0.162,0.18539999999999998,1594149927,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1594158968,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1594158968,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1594158968,2.91,9.71,87.38
0.006,0.02,0.18,0.206,1594169889,2.91,9.71,87.38
0.033,0.11,0.99,1.133,1594228326,2.91,9.71,87.38
0.0039,0.013,0.117,0.13390000000000002,1594259800,2.91,9.71,87.38
0.0119997,0.039999,0.359991,0.4119897,1594260863,2.91,9.71,87.38
0.0096,0.032,0.288,0.3296,1594275063,2.91,9.71,87.38
0.021,0.07,0.63,0.7210000000000001,1594297960,2.91,9.71,87.38
0.0039,0.013,0.117,0.13390000000000002,1594298645,2.91,9.71,87.38
0.0039,0.013,0.117,0.13390000000000002,1594303219,2.91,9.71,87.38
0.0057,0.019,0.171,0.1957,1594312988,2.91,9.71,87.38
0.00696,0.0232,0.2088,0.23896,1594313126,2.91,9.71,87.38
0.00735,0.0245,0.2205,0.25235,1594313249,2.91,9.71,87.38
0.0165,0.055,0.495,0.5665,1594323327,2.91,9.71,87.38
0.075,0.25,2.25,2.575,1594359520,2.91,9.71,87.38
0.015,0.05,0.45,0.515,1594384202,2.91,9.71,87.38
0.0057,0.019,0.171,0.1957,1594394733,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1594395061,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1594396539,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1594396699,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1594418384,2.91,9.71,87.38
